frameID,p_error
2051,0.194211
2053,0.192112
2055,0.189211
2057,0.186997
2059,0.184992
2061,0.181581
2063,0.17839
2065,0.173688
2067,0.16898
2069,0.166276
2071,0.162156
2073,0.15862
2075,0.156936
2077,0.15744
2079,0.157473
2081,0.156891
2083,0.157771
2085,0.158111
2087,0.160778
2089,0.161067
2091,0.162116
2093,0.162933
2095,0.163197
2097,0.164425
2099,0.164508
2101,0.163573
2103,0.163888
2105,0.164945
2107,0.166009
2109,0.167951
2111,0.168331
2113,0.168123
2115,0.170772
2117,0.170911
2119,0.170305
2121,0.168393
2123,0.167749
2125,0.167301
2127,0.167435
2129,0.167628
2131,0.167656
2133,0.168409
2135,0.168754
2137,0.168984
2139,0.168644
2141,0.170033
2143,0.17042
2145,0.167178
2147,0.167353
2149,0.16829
2151,0.170404
2153,0.173488
2155,0.176194
2157,0.177791
2159,0.178603
2161,0.180144
2163,0.182898
2165,0.183232
2167,0.18265
2169,0.182559
2171,0.183489
2173,0.184781
2175,0.185478
2177,0.186396
2179,0.186339
2181,0.189522
2183,0.190669
2185,0.189273
2187,0.189744
2189,0.186876
2191,0.183941
2193,0.180946
2195,0.178746
2197,0.178861
2199,0.177068
2201,0.175488
2203,0.173692
2205,0.172372
2207,0.170957
2209,0.168709
2211,0.167933
2213,0.166286
2215,0.162225
2217,0.158712
2219,0.155126
2221,0.153752
2223,0.15029
2225,0.150011
2227,0.147627
2229,0.145504
2231,0.142695
2233,0.140696
2235,0.140912
2237,0.138549
2239,0.132262
2241,0.129091
2243,0.127038
2245,0.123477
2247,0.121572
2249,0.118307
2251,0.119016
2253,0.120151
2255,0.11515
2257,0.114464
2259,0.113077
2261,0.112291
2263,0.11123
2265,0.109821
2267,0.107848
2269,0.106688
2271,0.105531
2273,0.10605
2275,0.104458
2277,0.103309
2279,0.103598
2281,0.104314
2283,0.10465
2285,0.104674
2287,0.104631
2289,0.104312
2291,0.105205
2293,0.106643
2295,0.108851
2297,0.110927
2300,0.114872
2302,0.115033
2304,0.115456
2306,0.116517
2308,0.117446
2310,0.118612
2312,0.120218
2314,0.1225
2319,0.133921
2321,0.137072
2323,0.140208
2325,0.142573
2327,0.144114
2331,0.14729
2333,0.146641
2335,0.145742
2337,0.144491
2339,0.142902
2341,0.141404
2343,0.140169
2345,0.138437
2347,0.136105
2349,0.134296
2351,0.132632
2353,0.131688
2355,0.130372
2357,0.128824
2359,0.127621
2361,0.126372
2363,0.124835
2365,0.123541
2367,0.122334
2369,0.120088
2371,0.118078
2373,0.115258
2375,0.11351
